Date,Day of Week,Visits,Year,xmas,cl,Class,days from christmas,springb,springb2,sb,break,holiday,snowfall,snowclass,Snowclass,numsnowclass,weekday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,SeasonDay,class,wkday,wkday2,dec,spred
1/9/2014,Thursday,1245,1,1,2,3,15,0,0,0,1,0,8,MediumHigh,high,4,1,0,0,0,0,0,0,1,44,high,0,1,0,2
1/10/2014,Friday,2238,1,1,3,3,16,0,0,0,1,0,1,Low,low,1,0,1,0,0,0,0,0,0,45,high,0,0,0,3
1/11/2014,Saturday,3106,1,1,3,3,17,0,0,0,1,0,14,High,high,5,0,0,1,0,0,0,0,0,46,high,0,0,0,3
1/12/2014,Sunday,6195,1,1,3,3,18,0,0,0,1,0,8,MediumHigh,high,4,0,0,0,1,0,0,0,0,47,high,0,0,0,3
1/13/2014,Monday,1088,1,0,2,3,19,0,0,0,0,0,0,None,none,0,1,0,0,0,1,0,0,0,48,high,1,0,0,2
1/14/2014,Tuesday,986,1,0,1,2,20,0,0,0,0,0,0,None,none,0,1,0,0,0,0,1,0,0,49,medium,1,1,0,2
1/15/2014,Wednesday,1392,1,0,2,3,21,0,0,0,0,0,0,None,none,0,1,0,0,0,0,0,1,0,50,high,1,1,0,2
1/16/2014,Thursday,906,1,0,1,2,22,0,0,0,0,0,0,None,none,0,1,0,0,0,0,0,0,1,51,medium,0,1,0,2
1/17/2014,Friday,1932,1,0,2,3,23,0,0,0,0,0,0,None,none,0,0,1,0,0,0,0,0,0,52,high,0,0,0,3
1/18/2014,Saturday,5429,1,0,3,3,24,0,0,0,0,0,0,None,none,0,0,0,1,0,0,0,0,0,53,high,0,0,0,3
1/19/2014,Sunday,3396,1,0,3,3,25,0,0,0,0,0,0,None,none,0,0,0,0,1,0,0,0,0,54,high,0,0,0,3
1/20/2014,Monday,2766,1,0,3,3,26,0,0,0,0,1,0,None,none,0,1,0,0,0,1,0,0,0,55,high,1,0,0,2
1/21/2014,Tuesday,501,1,0,1,2,27,0,0,0,0,0,0,None,none,0,1,0,0,0,0,1,0,0,56,medium,1,1,0,2
1/22/2014,Wednesday,689,1,0,1,2,28,0,0,0,0,0,0,None,none,0,1,0,0,0,0,0,1,0,57,medium,1,1,0,2
1/23/2014,Thursday,679,1,0,1,2,29,0,0,0,0,0,0,None,none,0,1,0,0,0,0,0,0,1,58,medium,0,1,0,2
1/24/2014,Friday,1653,1,0,2,3,30,0,0,0,0,0,0,None,none,0,0,1,0,0,0,0,0,0,59,high,0,0,0,3
1/25/2014,Saturday,4746,1,0,3,3,31,0,0,0,0,0,0,None,none,0,0,0,1,0,0,0,0,0,60,high,0,0,0,3
1/26/2014,Sunday,4127,1,0,3,3,32,0,0,0,0,0,0,None,none,0,0,0,0,1,0,0,0,0,61,high,0,0,0,3
1/27/2014,Monday,791,1,0,1,2,33,0,0,0,0,0,0,None,none,0,1,0,0,0,1,0,0,0,62,medium,1,0,0,2
1/28/2014,Tuesday,368,1,0,1,1,34,0,0,0,0,0,3,Low,low,1,1,0,0,0,0,1,0,0,63,low,1,1,0,2
1/29/2014,Wednesday,591,1,0,1,2,35,0,0,0,0,0,9,MediumHigh,high,4,1,0,0,0,0,0,1,0,64,medium,1,1,0,2
1/30/2014,Thursday,1121,1,0,2,3,36,0,0,0,0,0,3,Low,low,1,1,0,0,0,0,0,0,1,65,high,0,1,0,2
1/31/2014,Friday,2615,1,0,3,3,37,0,0,0,0,0,1,Low,low,1,0,1,0,0,0,0,0,0,66,high,0,0,0,3
2/1/2014,Saturday,5741,1,0,3,3,38,0,0,0,0,0,1,Low,low,1,0,0,1,0,0,0,0,0,67,high,0,0,0,3
2/2/2014,Sunday,2832,1,0,3,3,39,0,0,0,0,0,0,None,none,0,0,0,0,1,0,0,0,0,68,high,0,0,0,3
